id_distribuidor,perdida_de_cosecha,inicio_credito,ciclo_credito
128281,0.0,2023-02-01,2
116500,0.0,2023-02-01,3
130115,0.0,2023-02-01,2
130165,0.0,2023-02-01,2
98814,0.0,2023-02-01,5
98820,0.0,2023-02-01,5
109795,0.0,2023-02-01,4
116861,0.0,2023-02-01,3
100576,0.0,2023-02-01,4
102776,0.0,2023-02-10,5
102882,0.0,2023-02-10,9
102786,0.0,2023-02-10,9
130866,0.0,2023-02-02,2
130783,0.0,2023-02-02,2
99357,0.0,2023-02-03,5
129484,0.0,2023-02-02,2
129482,0.0,2023-02-02,2
141222,0.0,2023-02-02,1
130869,0.0,2023-02-02,2
130868,0.0,2023-02-02,2
130990,0.0,2023-02-02,2
140592,0.0,2023-02-02,1
130787,0.0,2023-02-02,2
130784,0.0,2023-02-02,2
130768,0.0,2023-02-02,2
130767,0.0,2023-02-02,2
99026,0.0,2023-02-03,5
98569,0.0,2023-02-03,5
99344,0.0,2023-02-03,5
99358,0.0,2023-02-03,5
99360,0.0,2023-02-03,5
118904,0.0,2023-02-03,3
107684,0.0,2023-02-03,4
120188,0.0,2023-02-06,3
100087,0.0,2023-02-03,5
107681,0.0,2023-02-03,4
107683,0.0,2023-02-03,4
107993,0.0,2023-02-03,4
109663,0.0,2023-02-03,4
119778,0.0,2023-02-03,3
141014,0.0,2023-02-03,1
140992,0.0,2023-02-03,1
100094,0.0,2023-02-03,5
100546,0.0,2023-02-03,5
100124,0.0,2023-02-03,5
100474,0.0,2023-02-03,5
110572,0.0,2023-02-03,4
110573,0.0,2023-02-03,4
116673,0.0,2023-02-03,3
141399,0.0,2023-02-06,1
120190,0.0,2023-02-06,3
120187,0.0,2023-02-06,3
120186,0.0,2023-02-06,3
120189,0.0,2023-02-06,3
129758,0.0,2023-02-08,2
140849,0.0,2023-02-08,1
140843,0.0,2023-02-08,1
133107,0.0,2023-02-08,2
132793,0.0,2023-02-08,2
133015,0.0,2023-02-08,2
129755,0.0,2023-02-08,2
129761,0.0,2023-02-08,2
129760,0.0,2023-02-08,2
129763,0.0,2023-02-08,2
123634,0.0,2023-02-08,2
100078,0.0,2023-02-07,5
132452,0.0,2023-02-09,2
130055,0.0,2023-02-07,2
123980,0.0,2023-02-08,2
141071,0.0,2023-02-16,1
141068,0.0,2023-02-16,1
123916,0.0,2023-02-08,2
123639,0.0,2023-02-08,2
124208,0.0,2023-02-08,2
123917,0.0,2023-02-08,2
