,id_distribuidor_linea_de_credito,monto_autorizado,tasa_minima,grupo_riesgo,riesgo,tasa_ponderada,perdida_ponderada,id_distribuidor,importe_depositado,marginal,perdida_cosecha_canasta
3010,168972,10000,110,Canasta 5,5,139.94118685124772,0.0,169271,49040.0,4493.278461538463,3.374105053076616
3011,169167,10000,147,Canasta 9,9,147.0,0.0,169271,49040.0,4493.278461538463,7.900051906317038
3012,168983,10000,132,Canasta 8,8,116.875,0.0,169568,35955.0,726.964615384616,5.828371587611391
3013,168984,10000,132,Canasta 8,8,129.3600537157612,0.0,169568,35955.0,726.964615384616,5.828371587611391
3014,168986,10000,132,Canasta 8,8,134.81105263157895,0.0,169568,35955.0,726.964615384616,5.828371587611391
3015,168988,10000,147,Canasta 9,9,116.875,0.0,169568,35955.0,726.964615384616,7.900051906317038
3016,168992,10000,147,Canasta 9,9,124.66666666666667,0.0,169568,35955.0,726.964615384616,7.900051906317038
3017,169028,10000,115,Canasta 6,6,160.90023542845933,0.0,170102,56544.0,2094.764615384616,3.977055692691484
3018,169031,10000,132,Canasta 8,8,138.84210332410177,0.0,170102,56544.0,2094.764615384616,5.828371587611391
3019,169032,10000,110,Canasta 5,5,138.95651408320578,0.0,170102,56544.0,2094.764615384616,3.374105053076616
3020,169214,10000,127,Canasta 7,7,138.84210332410177,0.0,170102,56544.0,2094.764615384616,5.243910975948551
3021,169379,10000,132,Canasta 8,8,157.2075,0.0,170102,56544.0,2094.764615384616,5.828371587611391
3022,169061,10000,127,Canasta 7,7,90.0,0.0,169584,56000.0,1139.810769230769,5.243910975948551
3023,169062,10000,132,Canasta 8,8,79.99999999999999,0.0,169584,56000.0,1139.810769230769,5.828371587611391
3024,169064,0,0,Canasta 10,10,90.0,0.0,169584,56000.0,1139.810769230769,11.22693992153604
3025,169067,10000,132,Canasta 8,8,79.99999999999999,0.0,169584,56000.0,1139.810769230769,5.828371587611391
3026,169070,10000,147,Canasta 9,9,79.99999999999999,0.0,169584,56000.0,1139.810769230769,7.900051906317038
3027,169063,10000,127,Canasta 7,7,161.6469230769231,0.0,170173,62120.0,2363.8107692307703,5.243910975948551
3028,169168,10000,127,Canasta 7,7,183.082,0.0,170173,62120.0,2363.8107692307703,5.243910975948551
3029,169191,10000,132,Canasta 8,8,147.0,0.0,170173,62120.0,2363.8107692307703,5.828371587611391
3030,169327,10000,132,Canasta 8,8,177.45272727272726,0.0,170173,62120.0,2363.8107692307703,5.828371587611391
3031,169565,10000,132,Canasta 8,8,147.0,0.0,170173,62120.0,2363.8107692307703,5.828371587611391
3032,169099,10000,127,Canasta 7,7,142.0,0.0,169356,119616.0,10001.183846153845,5.243910975948551
3033,169101,10000,110,Canasta 5,5,144.0833472223148,0.0,169356,119616.0,10001.183846153845,3.374105053076616
3034,169137,10000,90,Canasta 1,1,147.0,0.0,169178,243694.9,11916.8823076923,0.5981846460466533
3035,169138,10000,90,Canasta 1,1,141.99999999999997,0.0,169178,243694.9,11916.8823076923,0.5981846460466533
3036,169170,10000,132,Canasta 8,8,136.22654200192747,0.0,170537,44145.0,1095.733846153847,5.828371587611391
3037,169171,10000,127,Canasta 7,7,90.0,0.0,170537,44145.0,1095.733846153847,5.243910975948551
3038,169173,10000,115,Canasta 6,6,133.99407546657156,0.0,170537,44145.0,1095.733846153847,3.977055692691484
3039,169247,10000,132,Canasta 8,8,113.55180656766423,0.0,170537,44145.0,1095.733846153847,5.828371587611391
3040,169919,10000,132,Canasta 8,8,147.0,0.0,170537,44145.0,1095.733846153847,5.828371587611391
3041,169195,10000,132,Canasta 8,8,135.37093183777358,0.0,171029,86385.0,1552.0543589743586,5.828371587611391
3042,169433,10000,132,Canasta 8,8,130.13284240886787,0.0,171029,86385.0,1552.0543589743586,5.828371587611391
3043,169452,10000,127,Canasta 7,7,108.25019327464332,0.0,171029,86385.0,1552.0543589743586,5.243910975948551
3044,169454,10000,132,Canasta 8,8,114.6679230972973,0.0,171029,86385.0,1552.0543589743586,5.828371587611391
3045,169455,10000,127,Canasta 7,7,80.0,0.0,171029,86385.0,1552.0543589743586,5.243910975948551
3046,169719,10000,115,Canasta 6,6,110.90034301694206,0.0,171029,86385.0,1552.0543589743586,3.977055692691484
