,id_distribuidor,ID ASOCIADO,CAPITAL AUTORIZADO,TASA AUTORIZADA,RECUPERADO,NO RECUPERADO,CERRADO,P COSECHA,grupo_riesgo_quilum,grupo_riesgo_quash,tasa_sugerida_quilum,tasa_sugerida_quash,perdida_cosecha_esperada_quilum,perdida_cosecha_esperada_quash
1212,164159,164335,6000,142,6000.0,0.0,SI,0.0,10,,0,,17.35,
1213,163880,164337,8000,142,8000.0,0.0,SI,0.0,10,,0,,17.35,
1214,163925,164338,6000,142,6000.0,0.0,SI,0.0,10,,0,,17.35,
1215,164175,164323,8000,100,8000.0,0.0,SI,0.0,9,,0,,15.2,
1216,164160,164388,10000,142,10000.0,0.0,SI,0.0,7,,142,,5.77,
1217,163611,164372,5000,122,5000.0,0.0,SI,0.0,9,,0,,15.2,
1218,163615,164374,5000,122,5000.0,0.0,SI,0.0,3,,100,,1.84,
1219,163617,164371,5000,122,5000.0,0.0,SI,0.0,5,,112,,3.19,
1220,163619,164369,12000,122,12000.0,0.0,SI,0.0,9,,0,,13.17,
1221,163620,164370,5000,115,5000.0,0.0,SI,0.0,7,,0,,5.77,
1222,163817,164480,5000,147,5000.0,0.0,SI,0.0,8,,0,,7.48,
1223,163827,164477,16000,85,16000.0,0.0,SI,0.0,8,,0,,7.48,
1224,163868,164432,10000,100,6144.344890772629,3855.6551092273717,SI,38.556551092273715,4,,115,,1.89,
1225,163816,164478,18000,85,18000.0,0.0,SI,0.0,9,,0,,13.17,
1226,163822,164479,20000,85,20000.0,0.0,SI,0.0,3,,0,,1.84,
1227,163967,164481,8000,142,8000.0,0.0,SI,0.0,10,,0,,17.35,
1228,163821,164476,12000,85,12000.0,0.0,SI,0.0,8,,0,,7.48,
1229,164040,164482,15000,85,15000.0,0.0,SI,0.0,8,,0,,7.48,
1230,163645,164684,7000,142,7000.0,0.0,SI,0.0,6,,132,,3.19,
1231,163666,164683,8000,142,8000.0,0.0,SI,0.0,5,,112,,3.19,
1232,164239,164685,5000,147,5000.0,0.0,SI,0.0,9,,0,,15.2,
1233,164268,164954,5000,147,5000.0,0.0,SI,0.0,9,,0,,13.17,
1234,163256,164672,5000,147,5000.0,0.0,SI,0.0,5,,112,,3.19,
1235,163259,164673,8000,142,8000.0,0.0,SI,0.0,3,,100,,1.89,
1236,164346,164681,5000,147,5000.0,0.0,SI,0.0,1,,110,,1.63,
1237,163646,164682,10000,142,10000.0,0.0,SI,0.0,8,,0,,7.48,
1238,163354,164719,9000,142,9000.0,0.0,SI,0.0,6,,132,,3.19,
1239,163362,164720,8000,142,8000.0,0.0,SI,0.0,3,,0,,1.89,
1240,163381,164718,10000,142,10000.0,0.0,SI,0.0,8,,0,,7.48,
1241,162405,164810,7000,142,7000.0,0.0,SI,0.0,10,,0,,17.35,
1242,162731,164811,7000,142,7000.0,0.0,SI,0.0,10,,0,,17.35,
1243,164072,165022,8000,75,8000.0,0.0,SI,0.0,7,,0,,3.76,
1244,164197,165020,10000,75,10000.0,0.0,SI,0.0,3,,0,,1.89,
1245,164414,165023,15000,75,15000.0,0.0,SI,0.0,7,,142,,5.77,
1246,164507,165284,7000,142,7000.0,0.0,SI,0.0,9,,0,,15.2,
1247,164508,165286,7000,142,7000.0,0.0,SI,0.0,8,,0,,5.77,
1248,164517,165285,6000,142,6000.0,0.0,SI,0.0,7,,142,,5.77,
1249,162154,164813,7000,142,7000.0,0.0,SI,0.0,1,,0,,1.63,
1250,163250,164812,7000,142,7000.0,0.0,SI,0.0,9,,0,,13.17,
1251,163252,164814,7000,142,7000.0,0.0,SI,0.0,8,,0,,7.48,
1252,164071,165024,6000,142,6000.0,0.0,SI,0.0,3,,105,,1.84,
1253,164411,165025,10000,75,10000.0,0.0,SI,0.0,1,,0,,1.63,
1254,164679,164888,7000,142,7000.0,0.0,SI,0.0,7,,142,,5.77,
1255,163609,164937,10000,142,8249.086929743022,1750.9130702569787,SI,17.509130702569784,10,,0,,17.35,
1256,163604,164936,10000,142,8249.086929743022,1750.9130702569787,SI,17.509130702569784,8,,0,,7.48,
1257,163632,164935,9000,142,7424.17823676872,1575.8217632312796,SI,17.509130702569774,2,,115,,1.84,
1258,163923,165279,9000,142,4270.810565248509,4729.189434751491,SI,52.54654927501656,8,,0,,7.48,
1259,164227,164912,6000,142,6000.0,0.0,SI,0.0,4,,0,,1.89,
1260,164231,164920,5000,147,5000.0,0.0,SI,0.0,9,,0,,13.17,
1261,164566,164938,10000,142,8249.086929743022,1750.9130702569787,SI,17.509130702569784,1,,100,,1.63,
1262,164666,164918,6000,142,6000.0,0.0,SI,0.0,8,,0,,7.48,
1263,164765,164939,5000,147,4124.543464871511,875.4565351284893,SI,17.509130702569784,5,,112,,3.19,
1264,163884,165277,8000,142,3796.2760579986752,4203.723942001325,SI,52.54654927501656,9,,0,,15.2,
1265,163892,165280,9000,142,4270.810565248509,4729.189434751491,SI,52.54654927501656,7,,142,,5.77,
1266,163899,165281,7000,142,3321.7415507488404,3678.2584492511596,SI,52.54654927501656,9,,0,,15.2,
1267,164119,164974,5000,147,5000.0,0.0,SI,0.0,6,,142,,3.76,
1268,164453,164976,10000,142,10000.0,0.0,SI,0.0,7,,0,,3.76,
1269,164540,164978,5000,132,5000.0,0.0,SI,0.0,4,,110,,1.89,
1270,164242,164975,8000,142,8000.0,0.0,SI,0.0,6,,127,,3.76,
1271,164485,164977,10000,137,10000.0,0.0,SI,0.0,3,,100,,1.89,
1272,164834,164979,8000,142,8000.0,0.0,SI,0.0,9,,0,,15.2,
1273,164406,164991,5000,147,5000.0,0.0,SI,0.0,5,,127,,3.19,
1274,164648,165064,5000,105,5000.0,0.0,SI,0.0,2,,95,,1.84,
1275,164832,165038,10000,142,10000.0,0.0,SI,0.0,1,,0,,1.63,
1276,164202,165080,10000,90,10000.0,0.0,SI,0.0,8,,0,,7.48,
1277,164212,165078,7000,100,7000.0,0.0,SI,0.0,9,,0,,15.2,
1278,164213,165079,6000,100,6000.0,0.0,SI,0.0,8,,0,,7.48,
1279,164373,165260,50000,90,50000.0,0.0,SI,0.0,10,,0,,17.35,
1280,164376,165264,10000,90,10000.0,0.0,SI,0.0,10,,0,,17.35,
1281,164524,165261,20000,90,20000.0,0.0,SI,0.0,10,,0,,17.35,
1282,164619,165065,6000,110,6000.0,0.0,SI,0.0,2,,0,,1.84,
1283,164632,165062,10000,95,10000.0,0.0,SI,0.0,7,,147,,5.77,
1284,164635,165063,6000,100,6000.0,0.0,SI,0.0,4,,110,,1.89,
1285,164701,165081,5000,147,5000.0,0.0,SI,0.0,9,,0,,15.2,
1286,164759,165259,10000,142,10000.0,0.0,SI,0.0,8,,0,,13.17,
1287,164800,165061,10000,100,10000.0,0.0,SI,0.0,3,,0,,1.89,
1288,164971,165077,18000,95,18000.0,0.0,SI,0.0,8,,0,,13.17,
1289,164375,165263,50000,90,50000.0,0.0,SI,0.0,10,,0,,17.35,
1290,164795,165262,20000,90,20000.0,0.0,SI,0.0,7,,0,,5.77,
1291,165091,165287,6000,142,6000.0,0.0,SI,0.0,10,,0,,17.35,
1292,165093,165289,7000,142,7000.0,0.0,SI,0.0,10,,0,,17.35,
1293,162353,165132,7000,142,7000.0,0.0,SI,0.0,5,,120,,3.19,
1294,162399,165133,8000,142,8000.0,0.0,SI,0.0,3,,100,,1.84,
1295,163132,165145,7000,142,6547.066225967795,452.9337740322049,SI,6.470482486174356,8,,0,,13.17,
1296,163765,165129,10000,142,10000.0,0.0,SI,0.0,4,,110,,1.89,
1297,163778,165127,7000,142,7000.0,0.0,SI,0.0,3,,100,,1.89,
1298,163871,165130,8000,142,8000.0,0.0,SI,0.0,7,,0,,5.77,
1299,163874,165128,8000,142,8000.0,0.0,SI,0.0,6,,127,,3.19,
1300,163891,165131,6000,142,6000.0,0.0,SI,0.0,7,,0,,5.77,
1301,164914,165231,6000,142,6000.0,0.0,SI,0.0,7,,147,,5.77,
1302,164919,165230,7000,142,7000.0,0.0,SI,0.0,7,,142,,5.77,
1303,164921,165233,10000,142,10000.0,0.0,SI,0.0,10,,0,,17.35,
1304,165052,165229,5000,147,5000.0,0.0,SI,0.0,4,,115,,1.89,
1305,164899,165253,10000,142,3502.2600057702284,6497.739994229772,SI,64.97739994229772,6,,127,,3.19,
1306,164900,165254,10000,142,3502.2600057702284,6497.739994229772,SI,64.97739994229772,10,,0,,17.35,
1307,164902,165255,10000,142,3502.2600057702284,6497.739994229772,SI,64.97739994229772,5,,115,,3.19,
1308,164911,165252,10000,142,3502.2600057702284,6497.739994229772,SI,64.97739994229772,3,,100,,1.89,
1309,165123,165256,7000,142,2451.58200403916,4548.41799596084,SI,64.97739994229772,9,,0,,13.17,
1310,164784,165283,7000,142,7000.0,0.0,SI,0.0,10,,0,,17.35,
1311,157654,165381,10000,142,6571.143509308173,3428.8564906918273,SI,34.288564906918275,8,,0,,5.77,
1312,164572,165385,10000,142,10000.0,0.0,SI,0.0,8,,0,,7.48,
1313,164614,165384,10000,142,10000.0,0.0,SI,0.0,8,,0,,7.48,
1314,164650,165380,10000,142,6571.143509308173,3428.8564906918273,SI,34.288564906918275,1,,100,,1.63,
1315,164927,165382,5000,147,3285.5717546540864,1714.4282453459136,SI,34.288564906918275,2,,100,,1.84,
1316,165339,165358,5000,147,5000.0,0.0,SI,0.0,2,,95,,1.84,
1317,164571,165386,9000,142,9000.0,0.0,SI,0.0,10,,0,,17.35,
