id_distribuidor,monto_autorizado,tasa_minima,probabilidad,grupo_riesgo
158056,10000,147,0.7950380445,Canasta 3
158079,0,0,0.4665706456,Canasta 1
158090,0,0,0.2710708082,Canasta 1
158125,0,0,0.4415634274,Canasta 1
158128,0,0,0.565162003,Canasta 2
158134,0,0,0.6734956503,Canasta 2
158143,0,0,0.3523313701,Canasta 1
158164,10000,142,0.9085484743,Canasta 4
158165,10000,147,0.8259298801,Canasta 3
158166,0,0,0.3715107739,Canasta 1
158169,0,0,0.5166788697,Canasta 2
158209,10000,147,0.8070936799,Canasta 3
158216,0,0,0.3762271702,Canasta 1
158221,10000,142,0.8637261987,Canasta 4
158226,0,0,0.3344428837,Canasta 1
158227,0,0,0.5159358978,Canasta 2
158228,0,0,0.3090792596,Canasta 1
158232,0,0,0.4412701726,Canasta 1
158238,0,0,0.4536044002,Canasta 1
158240,0,0,0.7053701878,Canasta 2
158245,10000,142,0.8828769922,Canasta 4
158246,0,0,0.358304143,Canasta 1
158247,0,0,0.7287272215,Canasta 2
158265,0,0,0.8364597559,Canasta 3
158268,10000,127,0.9708196521,Canasta 6
158292,0,0,0.5963981152,Canasta 2
158322,0,0,0.1728130281,Canasta 1
158354,10000,142,0.9092857242,Canasta 4
158356,0,0,0.5351361632,Canasta 2
158360,0,0,0.7486521602,Canasta 2
158367,0,0,0.394921571,Canasta 1
158377,0,0,0.0408236198,Canasta 1
158379,10000,147,0.8091734648,Canasta 3
158380,10000,147,0.7657635808,Canasta 3
158381,10000,147,0.8232385516,Canasta 3
158382,10000,147,0.8189288974,Canasta 3
158385,0,0,0.5312433839,Canasta 2
158386,0,0,0.7480731606,Canasta 2
158405,0,0,0.4394379258,Canasta 1
158406,10000,142,0.8873394132,Canasta 4
158415,10000,127,0.984228611,Canasta 6
158416,10000,127,0.9792581201,Canasta 6
158417,10000,147,0.7726267576,Canasta 3
158527,0,0,0.3522521257,Canasta 1
158541,10000,142,0.866341114,Canasta 4
158542,10000,147,0.7827210426,Canasta 3
158543,10000,142,0.8713760376,Canasta 4
158578,0,0,0.1030794382,Canasta 1
158579,0,0,0.5886150599,Canasta 2
158582,0,0,0.1332181245,Canasta 1
158584,0,0,0.5664979815,Canasta 2
158599,0,0,0.7182438374,Canasta 2
158607,10000,142,0.9134079218,Canasta 4
158608,10000,147,0.7979021668,Canasta 3
158609,10000,147,0.815300405,Canasta 3
158611,10000,147,0.8174897432,Canasta 3
158612,0,0,0.5412654877,Canasta 2
158625,0,0,0.3044656515,Canasta 1
158626,0,0,0.3755750358,Canasta 1
158627,0,0,0.7031605244,Canasta 2
158666,0,0,0.727966547,Canasta 2
158669,8000,142,0.8530187607,Canasta 4
158673,0,0,0.7343417406,Canasta 2
158674,0,0,0.5778305531,Canasta 2
158675,0,0,0.3910674453,Canasta 1
158677,0,0,0.681945622,Canasta 2
158678,0,0,0.6078418493,Canasta 2
158694,0,0,0.6511902213,Canasta 2
158696,9000,147,0.7853460908,Canasta 3
158697,10000,142,0.9446311593,Canasta 5
158703,0,0,0.6583679914,Canasta 2
158705,10000,142,0.9606537223,Canasta 5
158706,7000,142,0.9091255665,Canasta 4
158717,0,0,0.4285312593,Canasta 1
158739,10000,147,0.771713376,Canasta 3
158742,10000,142,0.8661066294,Canasta 4
158746,10000,142,0.9604917169,Canasta 5
158755,0,0,0.3642256558,Canasta 1
158769,0,0,0.4681926668,Canasta 1
158782,0,0,0.7281296253,Canasta 2
158784,0,0,0.4797292054,Canasta 1
158785,0,0,0.672237277,Canasta 2
158787,0,0,0.7868392467,Canasta 3
158789,0,0,0.5317329168,Canasta 2
158796,10000,127,0.9683228731,Canasta 6
158798,10000,142,0.9497807622,Canasta 5
158800,10000,142,0.9568320513,Canasta 5
158808,10000,147,0.8063871264,Canasta 3
158809,10000,147,0.8103349805,Canasta 3
158813,0,0,0.543761611,Canasta 2
158818,0,0,0.5985722542,Canasta 2
158819,10000,142,0.8467053771,Canasta 4
158823,0,0,0.4187512696,Canasta 1
158833,0,0,0.4029488266,Canasta 1
158844,0,0,0.7975446582,Canasta 3
158847,0,0,0.55915308,Canasta 2
158860,0,0,0.265263021,Canasta 1
158862,0,0,0.5592539907,Canasta 2
158865,0,0,0.5325133801,Canasta 2
158867,0,0,0.6308184266,Canasta 2
158881,10000,147,0.8327880502,Canasta 3
158882,0,0,0.5170645714,Canasta 2
158884,0,0,0.6010104418,Canasta 2
158887,0,0,0.8191129565,Canasta 3
158889,0,0,0.4267620742,Canasta 1
158890,0,0,0.610558629,Canasta 2
158900,10000,147,0.8053951859,Canasta 3
158901,0,0,0.3903892636,Canasta 1
158902,10000,127,0.9850808978,Canasta 6
158903,0,0,0.4007108808,Canasta 1
158904,0,0,0.2443606257,Canasta 1
158907,0,0,0.2798156142,Canasta 1
158920,0,0,0.389485389,Canasta 1
158945,10000,142,0.9261429906,Canasta 4
159000,0,0,0.5097373128,Canasta 2
159006,10000,142,0.8462162614,Canasta 4
159015,10000,142,0.91766572,Canasta 4
159018,6000,142,0.9486272335,Canasta 5
159022,0,0,0.1144344732,Canasta 1
159024,10000,142,0.8807166815,Canasta 4
159025,10000,142,0.8621815443,Canasta 4
159026,10000,142,0.936252892,Canasta 5
159027,10000,127,0.9686154723,Canasta 6
159058,0,0,0.3247725964,Canasta 1
159061,0,0,0.1721555442,Canasta 1
159062,0,0,0.6659421325,Canasta 2
159063,0,0,0.0503730737,Canasta 1
159065,0,0,0.5302886963,Canasta 2
159066,0,0,0.4283860326,Canasta 1
159068,10000,127,0.9779071808,Canasta 6
159069,10000,147,0.8376294971,Canasta 3
159070,10000,127,0.9943205118,Canasta 6
159071,10000,142,0.9404430389,Canasta 5
159075,0,0,0.3947088122,Canasta 1
159076,0,0,0.69250983,Canasta 2
159077,10000,142,0.8671740294,Canasta 4
159079,0,0,0.4130286276,Canasta 1
159080,10000,147,0.8289033771,Canasta 3
159082,10000,142,0.8935217261,Canasta 4
159083,10000,127,0.9849780798,Canasta 6
159109,10000,142,0.9678679109,Canasta 5
159110,10000,147,0.7679111362,Canasta 3
159115,10000,142,0.8471952677,Canasta 4
159116,10000,127,0.9887670875,Canasta 6
159124,10000,147,0.8320089579,Canasta 3
159125,0,0,0.3934088051,Canasta 1
159126,10000,147,0.7799554467,Canasta 3
159129,0,0,0.7388961315,Canasta 2
159142,0,0,0.6193583608,Canasta 2
159147,10000,127,0.9710345268,Canasta 6
159150,0,0,0.7639366388,Canasta 3
159152,0,0,0.6823325157,Canasta 2
159153,0,0,0.4178407788,Canasta 1
159173,0,0,0.2346788347,Canasta 1
159177,10000,142,0.9175151587,Canasta 4
159181,0,0,0.2724480033,Canasta 1
159192,10000,127,0.9972106814,Canasta 6
159207,0,0,0.2425316721,Canasta 1
159215,10000,127,0.9893633723,Canasta 6
159220,10000,127,0.9925406575,Canasta 6
159238,10000,127,0.9921706319,Canasta 6
159267,0,0,0.6955729127,Canasta 2
159297,0,0,0.6344180703,Canasta 2
159298,10000,142,0.9642020464,Canasta 5
159299,10000,142,0.9362571239,Canasta 5
159300,10000,142,0.9315193892,Canasta 4
159302,0,0,0.6743513942,Canasta 2
159307,10000,127,0.9751443267,Canasta 6
159308,10000,142,0.9439893961,Canasta 5
159312,10000,142,0.9500293136,Canasta 5
159328,10000,142,0.8436127901,Canasta 4
159332,0,0,0.4926877618,Canasta 1
159373,0,0,0.5335503817,Canasta 2
159387,0,0,0.6557645202,Canasta 2
159396,0,0,0.3201271296,Canasta 1
159404,7000,142,0.8650979996,Canasta 4
159405,0,0,0.6387935877,Canasta 2
159406,0,0,0.5831664205,Canasta 2
159408,0,0,0.3140461147,Canasta 1
159452,0,0,0.4556438923,Canasta 1
159497,0,0,0.4200194478,Canasta 1
159498,0,0,0.2573242188,Canasta 1
159499,0,0,0.5134368539,Canasta 2
159500,0,0,0.0432614796,Canasta 1
159501,0,0,0.2016830891,Canasta 1
159502,0,0,0.0674910471,Canasta 1
159505,10000,147,0.8065704107,Canasta 3
