APPLICANT_ID,INGRESO_MENSUAL,GASTOS_FAMILIARES,OTROS_INGRESOS,INGRESO_NETO,DEPENDIENTES,VENTAS,EDAD,MONTO_MENSUAL_VENTA,COMPRAS,DELEGACION,DELEGACION_NEGOCIO,ESCOLARIDAD,ESTADO,ESTADO_CIVIL,ESTADO_NEGOCIO,SEXO,SUCURSAL,TIPO_NEGOCIO,TIPO_VIVIENDA
162212,25800,3000,10000,52800,0,14000,47,56000,3000,TLAHUAC,TLAHUAC,BACHILLERATO,DISTRITO_FEDERAL,UNION LIBRE,DISTRITO_FEDERAL,MASCULINO,TLAHUAC,FRUTAS/VERDURAS/SEMILLAS/CAMPO/AGROPECUARIAS,FAMILIAR
162214,54400,2500,3500,54400,1,28000,24,112000,10000,TLAHUAC,TLAHUAC,BACHILLERATO,DISTRITO_FEDERAL,UNION LIBRE,DISTRITO_FEDERAL,FEMENINO,TLAHUAC,TORTILLERIA/MOLINO,FAMILIAR
162215,26648,1900,4000,26648,2,10000,45,40000,4500,TLAHUAC,TLAHUAC,BACHILLERATO,DISTRITO_FEDERAL,CASADO,DISTRITO_FEDERAL,FEMENINO,TLAHUAC,ARTE/ARTESANIAS,FAMILIAR
162488,5800,1650,2000,5800,2,2800,36,11200,1000,VALLE_DE_CHALCO_SOLIDARIDAD,VALLE_DE_CHALCO_SOLIDARIDAD,SECUNDARIA,MEXICO,SOLTERO,MEXICO,FEMENINO,CHALCO,ABARROTES/MISCELANEAS/PERECEDEROS,RENTADA
160459,7200,1500,1500,7200,2,2500,28,10000,500,NEZAHUALCOYOTL,NEZAHUALCOYOTL,BACHILLERATO,MEXICO,DIVORCIADO,MEXICO,FEMENINO,NEZAHUALCOYOTL_2,BELLEZA/SALON/ESTETICA/BARBERIA,FAMILIAR
161843,6800,1400,1200,6800,2,3000,31,12000,800,NEZAHUALCOYOTL,NEZAHUALCOYOTL,BACHILLERATO,MEXICO,UNION LIBRE,MEXICO,FEMENINO,NEZAHUALCOYOTL_2,VENTA_DE_ROPA,FAMILIAR
162594,6100,1600,1600,6100,2,2625,44,10500,900,NEZAHUALCOYOTL,NEZAHUALCOYOTL,BACHILLERATO,MEXICO,SOLTERO,MEXICO,FEMENINO,NEZAHUALCOYOTL_2,VENTA_DE_ROPA,FAMILIAR
163049,6800,600,1000,6800,0,4000,22,6000,1800,TLAHUAC,TLAHUAC,BACHILLERATO,DISTRITO_FEDERAL,SOLTERO,DISTRITO_FEDERAL,FEMENINO,TLAHUAC,ARTE/ARTESANIAS,FAMILIAR
162850,4000,1100,2400,9200,3,1600,30,6400,600,TLAJOMULCO_DE_ZUNIGA,TLAJOMULCO_DE_ZUNIGA,SECUNDARIA,JALISCO,UNION LIBRE,JALISCO,FEMENINO,TONALA,BELLEZA/SALON/ESTETICA/BARBERIA,FAMILIAR
162851,12000,1600,5100,18000,0,2000,42,8000,1000,TLAJOMULCO_DE_ZUNIGA,TLAJOMULCO_DE_ZUNIGA,PRIMARIA,JALISCO,CASADO,JALISCO,FEMENINO,TONALA,JOYERIA/BISUTERIA/FUNDICION,PROPIA
