ID DIST.,probs,grupo
13489,99.1,1
13513,56.74,4
13537,98.8,1
13544,99.5,1
13560,17.67,9
13566,98.5,1
13634,37.06,6
13635,52.870000000000005,5
13636,54.17,5
13668,99.4,1
13671,99.7,1
13718,28.77,7
13845,66.22,3
13865,98.6,1
13877,74.0,2
13896,17.470000000000002,9
13907,70.96000000000001,3
13908,99.2,1
13946,17.67,9
13955,8.350000000000001,10
13994,8.850000000000001,10
14000,49.7,5
14001,61.89,4
14042,21.1,8
14049,70.56,3
14121,98.5,1
14137,99.8,1
14164,99.6,1
14188,99.5,1
14190,70.23,3
14200,53.57,5
14233,99.9,1
14246,17.57,9
14247,53.470000000000006,5
14303,22.89,8
14304,99.7,1
14330,22.1,8
14345,74.63,2
14365,99.5,1
14367,98.7,1
14371,99.7,1
14396,99.3,1
14403,49.92,5
14410,73.29,2
14412,53.970000000000006,5
14419,64.23,3
14455,17.37,9
14484,98.5,1
14530,99.9,1
14593,53.07,5
14851,52.77,5
14894,99.1,1
14917,17.67,9
14961,99.3,1
15031,17.970000000000002,9
15058,99.4,1
15087,53.470000000000006,5
15110,71.66,3
15131,98.9,1
15133,99.5,1
15139,30.31,7
15180,79.99,2
15221,61.79,4
15223,98.5,1
15252,53.17,5
15275,26.57,8
15336,99.5,1
15337,53.27,5
15358,99.3,1
15363,54.07,5
15365,98.7,1
15410,99.1,1
15451,74.89,2
15475,53.57,5
15478,74.98,2
15491,53.77,5
15531,16.67,9
15556,98.6,1
15569,99.1,1
15613,99.4,1
15725,20.42,8
15755,99.6,1
15768,99.4,1
15997,17.270000000000003,9
16004,99.0,1
16051,79.79,2
16061,34.6,7
16069,68.67,3
16075,52.870000000000005,5
16098,62.489999999999995,4
16114,99.0,1
16115,99.3,1
16118,70.19,3
16130,55.96,4
16135,98.7,1
16151,67.11,3
16188,8.25,10
16244,71.36,3
16257,69.2,3
16259,47.62,5
16304,8.75,10
16335,99.2,1
16336,68.54,3
16380,39.46,6
16409,99.3,1
16478,61.69,4
16509,63.22,3
16514,99.1,1
16522,73.09,2
16544,99.4,1
16564,80.79,2
16576,16.67,9
16583,80.69,2
16615,99.0,1
16622,53.67,5
16632,73.32,2
