,id_distribuidor,probs,grupo,cosecha_canasta
9857,131077,0.7361,2,3.4
9858,131079,0.4568,5,10.69
9859,131081,0.6212,4,7.38
9860,131084,0.355,7,12.35
9861,131085,0.7946,2,3.4
9862,131087,0.993,1,1.54
9863,131093,0.3743999999999999,6,11.87
9864,131094,0.6446999999999999,3,4.97
9865,131095,0.99,1,1.54
9866,131101,0.2057999999999999,8,12.68
9867,131113,0.6715000000000001,3,4.97
9868,131114,0.996,1,1.54
9869,131121,0.6887000000000001,3,4.97
9870,131124,0.985,1,1.54
9871,131131,0.3148999999999999,7,12.35
9872,131133,0.6544,3,4.97
9873,131134,0.6434000000000001,3,4.97
9874,131135,0.2306,8,12.68
9875,131138,0.3342,7,12.35
9876,131141,0.7752,2,3.4
9877,131142,0.5244,5,10.69
9878,131143,0.988,1,1.54
9879,131154,0.989,1,1.54
9880,131164,0.5484,4,7.38
9881,131172,0.4627,5,10.69
9882,131179,0.4817,5,10.69
9883,131181,0.7981999999999999,2,3.4
9884,131184,0.4193,6,11.87
9885,131185,0.4696,5,10.69
9886,131188,0.6215999999999999,4,7.38
9887,131190,0.2132,8,12.68
9888,131192,0.3989999999999999,6,11.87
9889,131197,0.3917,6,11.87
9890,131206,0.5458,4,7.38
9891,131212,0.6232,4,7.38
9892,131215,0.7639,2,3.4
9893,131217,0.5678,4,7.38
9894,131230,0.7166,3,4.97
9895,131237,0.3435,7,12.35
9896,131238,0.2102,8,12.68
9897,131239,0.2971,7,12.35
9898,131242,0.998,1,1.54
9899,131252,0.6177,4,7.38
9900,131254,0.5088,5,10.69
9901,131255,0.6747,3,4.97
9902,131257,0.2473999999999999,8,12.68
9903,131259,0.2257,8,12.68
9904,131260,0.3057999999999999,7,12.35
9905,131262,0.3096,7,12.35
9906,131263,0.257,8,12.68
9907,131265,0.5583,4,7.38
9908,131266,0.5853,4,7.38
9909,131269,0.3702,6,11.87
9910,131270,0.985,1,1.54
9911,131273,0.4587,5,10.69
9912,131276,0.4197999999999999,6,11.87
9913,131277,0.99,1,1.54
9914,131290,0.4067,6,11.87
9915,131291,0.7933,2,3.4
9916,131292,0.5902000000000001,4,7.38
9917,131294,0.991,1,1.54
9918,131308,0.2164,8,12.68
9919,131311,0.6714,3,4.97
9920,131313,0.2437,8,12.68
9921,131316,0.99,1,1.54
9922,131328,0.7589,2,3.4
9923,131330,0.999,1,1.54
9924,131348,0.996,1,1.54
9925,131365,0.2285,8,12.68
9926,131369,0.5244,5,10.69
9927,131383,0.997,1,1.54
9928,131397,0.994,1,1.54
9929,131407,0.998,1,1.54
9930,131422,0.1757,9,20.33
9931,131434,0.4072,6,11.87
9932,131437,0.3583,7,12.35
9933,131439,0.992,1,1.54
9934,131458,0.419,6,11.87
9935,131460,0.7406999999999999,2,3.4
9936,131461,0.547,4,7.38
9937,131462,0.996,1,1.54
9938,131469,0.7818999999999999,2,3.4
9939,131475,0.23,8,12.68
9940,131479,0.3722,6,11.87
9941,131484,0.4362,6,11.87
9942,131485,0.4406,6,11.87
9943,131486,0.996,1,1.54
9944,131496,0.991,1,1.54
9945,131512,0.4975,5,10.69
9946,131513,0.4671,5,10.69
9947,131519,0.7822,2,3.4
9948,131520,0.6305,4,7.38
9949,131521,0.591,4,7.38
9950,131523,0.996,1,1.54
9951,131539,0.988,1,1.54
9952,131552,0.4291,6,11.87
9953,131558,0.997,1,1.54
9954,131579,0.1747,9,20.33
9955,131595,0.7112,3,4.97
9956,131599,0.7973,2,3.4
9957,131600,0.5376,5,10.69
9958,131605,0.5274,5,10.69
