folioConsulta,folioConsultaOtorgante,claveOtorgante,idCliente,dateTime
1167293546,API1686267747997,002726,154861,2023-06-08 23:42:29
1167289760,API1686267345281,002726,154860,2023-06-08 23:35:46
1167303410,API1686268817776,002726,154862,2023-06-09 00:00:19
1167312521,API1686269742450,002726,154863,2023-06-09 00:15:43
1167321361,API1686270728120,002726,154865,2023-06-09 00:32:09
1167568067,API1686322866154,002726,154876,2023-06-09 15:01:07
1167575322,API1686323716587,002726,154879,2023-06-09 15:15:17
1167571353,API1686323274339,002726,154878,2023-06-09 15:07:55
1167584952,API1686324695187,002726,154888,2023-06-09 15:31:36
1167605043,API1686326567717,002726,154892,2023-06-09 16:02:48
1167625524,API1686328341253,002726,154896,2023-06-09 16:32:22
1167638874,API1686329458433,002726,154897,2023-06-09 16:50:59
1167675984,API1686332374672,002726,154899,2023-06-09 17:39:35
1167677843,API1686332518136,002726,154902,2023-06-09 17:41:59
1167676992,API1686332453615,002726,154900,2023-06-09 17:40:55
1167680183,API1686332696713,002726,154906,2023-06-09 17:44:58
1167678727,API1686332587228,002726,154905,2023-06-09 17:43:08
1167719533,API1686335624839,002726,154927,2023-06-09 18:33:45
1167735384,API1686336720023,002726,154929,2023-06-09 18:52:01
1167742774,API1686337255626,002726,154932,2023-06-09 19:00:56
1167746893,API1686337575462,002726,154935,2023-06-09 19:06:16
1169268233,API1686596235490,002726,24321,2023-06-12 18:57:16
1169253687,API1686595115757,002726,154978,2023-06-12 18:38:37
1169280394,API1686597195655,002726,154978,2023-06-12 19:15:29
1169280819,API1686597229457,002726,154978,2023-06-12 19:16:03
1169281972,API1686597323134,002726,154978,2023-06-12 19:15:24
1169281587,API1686597293476,002726,154978,2023-06-12 19:17:07
1169313580,API1686599921676,002726,155045,2023-06-12 19:58:43
1169349871,API1686603013195,002726,155047,2023-06-12 20:50:14
1169362431,API1686604098067,002726,123173,2023-06-12 21:08:19
1169364410,API1686604268886,002726,123158,2023-06-12 21:11:10
1169380260,API1686605635802,002726,155073,2023-06-12 21:33:56
1169391593,API1686606620153,002726,155095,2023-06-12 21:50:21
1169387646,API1686606270069,002726,155094,2023-06-12 21:44:31
1169395821,API1686606984150,002726,155102,2023-06-12 21:56:25
1169385971,API1686606134761,002726,155093,2023-06-12 21:42:16
1169380815,API1686605683020,002726,155074,2023-06-12 21:34:44
1169401423,API1686607471532,002726,155048,2023-06-12 22:04:32
1169428916,API1686610012189,002726,155111,2023-06-12 22:46:53
1169448198,API1686611820608,002726,155114,2023-06-12 23:17:02
1169457561,API1686612722745,002726,155116,2023-06-12 23:32:04
1169461615,API1686613110669,002726,155118,2023-06-12 23:38:31
1169824889,API1686673083970,002726,155165,2023-06-13 16:18:05
1169821162,API1686672778029,002726,155163,2023-06-13 16:12:58
1171410146,API1686851211989,002726,155382,2023-06-15 17:46:53
1171418763,API1686851861162,002726,155384,2023-06-15 17:57:42
1171419756,API1686851933617,002726,155357,2023-06-15 17:58:54
1171420042,API1686851953316,002726,155358,2023-06-15 17:59:14
1171452155,API1686854333687,002726,155386,2023-06-15 18:38:55
1171480023,API1686856333856,002726,155388,2023-06-15 19:12:14
1171481243,API1686856425853,002726,155390,2023-06-15 19:13:46
1171483221,API1686856569906,002726,155395,2023-06-15 19:16:11
1171480703,API1686856384296,002726,155389,2023-06-15 19:13:05
1171485948,API1686856764625,002726,155398,2023-06-15 19:19:25
1171488665,API1686856979894,002726,155399,2023-06-15 19:23:00
1171479277,API1686856276695,002726,155387,2023-06-15 19:11:17
1171481663,API1686856456678,002726,155394,2023-06-15 19:14:18
1171506034,API1686858325479,002726,155403,2023-06-15 19:45:26
1171515493,API1686859086214,002726,155407,2023-06-15 19:58:06
1171507065,API1686858419747,002726,155404,2023-06-15 19:47:00
1171499004,API1686857771786,002726,155400,2023-06-15 19:36:12
1171522849,API1686859679044,002726,155410,2023-06-15 20:08:00
1171532149,API1686860427652,002726,155408,2023-06-15 20:20:28
1171534981,API1686860651246,002726,155392,2023-06-15 20:24:12
1171521966,API1686859609607,002726,155409,2023-06-15 20:06:50
1171535177,API1686860669982,002726,155413,2023-06-15 20:24:31
1171540428,API1686861099630,002726,155414,2023-06-15 20:31:41
1171560368,API1686862757996,002726,155423,2023-06-15 20:59:18
1171555197,API1686862328579,002726,155420,2023-06-15 20:52:09
1171540967,API1686861149110,002726,155415,2023-06-15 20:32:30
1171567482,API1686863338910,002726,155424,2023-06-15 21:08:59
1171601937,API1686866159248,002726,155428,2023-06-15 21:56:00
1171620117,API1686867826028,002726,155432,2023-06-15 22:23:47
1171621419,API1686867944952,002726,155433,2023-06-15 22:25:46
1171604799,API1686866399492,002726,155430,2023-06-15 22:00:01
1171616307,API1686867476947,002726,155431,2023-06-15 22:17:58
1171624166,API1686868186751,002726,155434,2023-06-15 22:29:48
1172207263,API1686926790764,002726,155452,2023-06-16 14:46:31
1172223155,API1686928100191,002726,155391,2023-06-16 15:08:21
1172240582,API1686929103022,002726,70598,2023-06-16 15:25:04
1172263207,API1686930580972,002726,75457,2023-06-16 15:49:43
1172262048,API1686930506180,002726,155465,2023-06-16 15:48:27
1172294756,API1686932350547,002726,116,2023-06-16 16:19:12
1172289315,API1686932052941,002726,126251,2023-06-16 16:14:16
1172294613,API1686932343212,002726,116,2023-06-16 16:19:05
1172348450,API1686935163859,002726,155478,2023-06-16 17:06:06
1172351722,API1686935338176,002726,155481,2023-06-16 17:08:59
1172347954,API1686935137417,002726,155476,2023-06-16 17:05:39
1172367057,API1686936073055,002726,143638,2023-06-16 17:21:14
1172361744,API1686935871095,002726,143637,2023-06-16 17:17:52
1172379705,API1686936474401,002726,155472,2023-06-16 17:27:55
1172366519,API1686936057279,002726,143639,2023-06-16 17:20:58
1172364937,API1686936008141,002726,143838,2023-06-16 17:20:09
1172352856,API1686935402532,002726,155482,2023-06-16 17:10:03
1172356685,API1686935607592,002726,155479,2023-06-16 17:13:28
1172379168,API1686936456067,002726,155470,2023-06-16 17:27:38
1172349382,API1686935214239,002726,133918,2023-06-16 17:06:55
1172434918,API1686938254696,002726,120188,2023-06-16 17:57:35
1172426740,API1686937996170,002726,155488,2023-06-16 17:53:17
1172395595,API1686936992808,002726,155486,2023-06-16 17:36:34
1172402717,API1686937213884,002726,155487,2023-06-16 17:40:18
1172770202,API1686950261695,002726,155534,2023-06-16 21:17:43
1172762170,API1686949988735,002726,155533,2023-06-16 21:13:09
1172874582,API1686954189887,002726,155539,2023-06-16 22:23:11
1172928192,API1686955767095,002726,155510,2023-06-16 22:49:28
1172928571,API1686955775984,002726,155513,2023-06-16 22:49:37
1172925149,API1686955678304,002726,111625,2023-06-16 22:48:00
1172926422,API1686955718175,002726,155485,2023-06-16 22:48:39
1172925088,API1686955676219,002726,155484,2023-06-16 22:47:57
1172929122,API1686955792815,002726,155518,2023-06-16 22:49:53
1172932837,API1686955897011,002726,111617,2023-06-16 22:51:41
1172932821,API1686955899401,002726,111617,2023-06-16 22:51:40
1172928849,API1686955784507,002726,155515,2023-06-16 22:49:45
1172926806,API1686955729299,002726,155493,2023-06-16 22:48:50
1172923066,API1686955621120,002726,111622,2023-06-16 22:47:02
1172923109,API1686955621732,002726,111622,2023-06-16 22:47:03
1172922916,API1686955617055,002726,111622,2023-06-16 22:46:58
1172929519,API1686955804234,002726,155519,2023-06-16 22:50:05
1172927302,API1686955741451,002726,155495,2023-06-16 22:49:03
1172927671,API1686955751938,002726,155504,2023-06-16 22:49:13
1172970568,API1686957189945,002726,101063,2023-06-16 23:13:12
