nombreScore,valor,razones,folioConsulta
FICO,517,"K0,E2,F7,E4",1173846072
FICO,429,"K0,J0,D7,E2",1173853785
FICO,517,"K0,E2,F7,E4",1173846166
FICO,517,"K0,E2,F7,E4",1173846109
FICO,517,"K0,E2,F7,E4",1173846130
FICO,517,"K0,E2,F7,E4",1173846149
FICO,517,"K0,E2,F7,E4",1173846283
FICO,517,"K0,E2,F7,E4",1173846252
FICO,429,"K0,J0,D7,E2",1173853820
FICO,517,"K0,E2,F7,E4",1173846244
FICO,378,"K0,D7,J0,E2",1173886239
FICO,418,"K0,D7,J0,E2",1173883638
FICO,411,"K0,D7,J0,E2",1173868147
FICO,411,"K0,D7,J0,E2",1173868169
FICO,378,"K0,D7,J0,E2",1173886188
FICO,411,"K0,D7,J0,E2",1173868183
FICO,411,"K0,D7,J0,E2",1173868236
FICO,550,"K0,J0,E2,M1",1174969460
FICO,401,"K0,E2,D8,P6",1174969586
FICO,436,"K0,J0,D7,E2",1174971165
FICO,461,"K0,J0,E2,D8",1174960266
FICO,401,"K0,E2,D8,P6",1174969554
FICO,461,"K0,J0,E2,D8",1174960237
FICO,482,"K0,D7,J0,E2",1174962978
FICO,461,"K0,J0,E2,D8",1174960248
FICO,461,"K0,J0,E2,D8",1174991464
FICO,471,"K0,J0,E2,D2",1174992097
FICO,688,"E2,G1,J0,E0",1174988072
FICO,688,"E2,G1,J0,E0",1174988052
FICO,669,"E2,J0,G1,E0",1175026397
FICO,458,"K0,J0,E2,D8",1175023733
FICO,512,"K0,J0,E2,M1",1175025325
FICO,458,"K0,J0,E2,D8",1175023787
FICO,509,"K0,J0,E2,M1",1175026169
FICO,500,"K0,J0,E2,D7",1175025846
FICO,426,"D2,A1,E2,E0",1175031532
FICO,500,"K0,J0,E2,D7",1175025871
FICO,641,"E2,G1,J0,E0",1175025676
FICO,551,"K0,J0,E2,P9",1175024854
FICO,426,"D2,A1,E2,E0",1175031597
FICO,669,"E2,J0,G1,E0",1175026375
FICO,641,"E2,G1,J0,E0",1175025641
FICO,427,"K0,J0,D7,E2",1175049339
FICO,427,"K0,J0,D7,E2",1175049412
FICO,455,"K0,J0,E2,D8",1175063847
FICO,388,"K0,D7,J0,E2",1175071175
FICO,474,"K0,J0,E2,D8",1175075913
FICO,388,"K0,D7,J0,E2",1175071127
FICO,411,"K0,J0,D7,E2",1175069640
FICO,411,"K0,J0,D7,E2",1175069575
FICO,467,"K0,J0,E2,D8",1175113662
FICO,528,"K0,J0,P9,E2",1175152779
FICO,542,"K0,J0,E2,M1",1175147666
FICO,528,"K0,J0,P9,E2",1175152720
FICO,556,"E2,E0,J0,G1",1175149893
FICO,542,"K0,J0,E2,M1",1175147588
FICO,453,"J0,K0,E2,M1",1175157856
FICO,461,"K0,J0,D8,E2",1175156251
FICO,438,"J0,K0,E2,M1",1175157780
FICO,478,"K0,J0,D7,E2",1175179851
FICO,454,"K0,D7,J0,E2",1175185158
FICO,404,"K0,D7,J0,E2",1175193026
FICO,478,"K0,J0,D7,E2",1175179895
FICO,597,"E2,J0,E0,G1",1175192371
FICO,472,"K0,J0,E2,D8",1175206597
FICO,398,"K0,D7,J0,E2",1175224686
FICO,398,"K0,D7,J0,E2",1175224633
FICO,502,"K0,J0,E2,F7",1175282641
FICO,522,"J0,K0,E2,D8",1175282398
FICO,569,"E2,D2,J0,G1",1175281350
FICO,415,"K0,D7,J0,E2",1175281957
FICO,426,"K0,D7,J0,E2",1175281694
FICO,528,"K0,J0,E2,E0",1175282162
FICO,426,"K0,D7,J0,E2",1175281635
FICO,404,"K0,D7,J0,E2",1175280956
FICO,404,"K0,D7,J0,E2",1175281006
FICO,381,"K0,D7,J0,E2",1175341276
FICO,381,"K0,D7,J0,E2",1175341078
FICO,381,"K0,D7,J0,E2",1175341111
FICO,381,"K0,D7,J0,E2",1175341252
FICO,381,"K0,D7,J0,E2",1175341203
FICO,381,"K0,D7,J0,E2",1175341300
FICO,381,"K0,D7,J0,E2",1175341189
FICO,444,"K0,J0,E2,P6",1175343507
FICO,444,"K0,J0,E2,P6",1175343574
FICO,381,"K0,D7,J0,E2",1175341110
FICO,443,"K0,J0,D7,E2",1175344055
FICO,443,"K0,J0,D7,E2",1175344041
FICO,443,"K0,J0,D7,E2",1175344011
FICO,444,"K0,J0,E2,P6",1175343550
FICO,381,"K0,D7,J0,E2",1175341161
FICO,381,"K0,D7,J0,E2",1175341256
FICO,381,"K0,D7,J0,E2",1175341196
FICO,381,"K0,D7,J0,E2",1175341133
FICO,444,"K0,J0,E2,P6",1175343510
FICO,444,"K0,J0,E2,P6",1175343554
FICO,468,"K0,J0,E2,P6",1175757851
FICO,468,"K0,J0,E2,P6",1175757876
FICO,468,"K0,J0,E2,P6",1175757891
FICO,458,"K0,J0,E2,D8",1175761337
FICO,468,"K0,J0,E2,P6",1175757909
FICO,468,"K0,J0,E2,P6",1175757829
FICO,468,"K0,J0,E2,P6",1175757838
FICO,468,"K0,J0,E2,P6",1175757923
FICO,468,"K0,J0,E2,P6",1175757873
FICO,468,"K0,J0,E2,P6",1175757901
FICO,435,"K0,J0,D7,E2",1175766214
FICO,468,"K0,J0,E2,P6",1175757917
FICO,483,"K0,J0,E2,D2",1175845693
FICO,535,"K0,J0,E2,D8",1175847695
FICO,465,"K0,J0,D8,E2",1175919543
FICO,465,"K0,J0,D8,E2",1175919648
FICO,486,"K0,J0,E2,D2",1175977789
FICO,503,"K0,J0,E2,D2",1175984426
FICO,416,"K0,D7,J0,E2",1175981369
FICO,412,"K0,D7,J0,E2",1175985827
FICO,416,"K0,D7,J0,E2",1175981261
FICO,463,"K0,J0,E2,D8",1175988400
FICO,581,"J0,E2,F7,D2",1176102507
FICO,399,"K0,J0,D7,E2",1176141662
FICO,415,"K0,D7,J0,E2",1176160641
FICO,399,"K0,J0,D7,E2",1176141613
FICO,551,"K0,J0,E2,E0",1176160540
FICO,399,"K0,J0,D7,E2",1176141697
FICO,551,"K0,J0,E2,E0",1176160464
FICO,466,"K0,J0,E2,D8",1176234853
FICO,405,"D2,E2,A1,E0",1176529601
FICO,405,"D2,E2,A1,E0",1176529550
FICO,549,"K0,F7,E4,J0",1176568019
FICO,449,"K0,J0,E2,P6",1176593214
FICO,449,"K0,J0,E2,P6",1176593163
FICO,468,"K0,F7,D8,E2",1176699795
FICO,483,"K0,J0,E2,D8",1176694130
FICO,408,"K0,D7,J0,E2",1176701777
FICO,488,"J0,K0,D7,E2",1176702440
FICO,612,"J0,K0,E2,P9",1176709483
FICO,461,"K0,J0,E2,D8",1176693211
FICO,612,"J0,K0,E2,P9",1176709525
FICO,443,"K0,J0,D7,E2",1176693776
FICO,518,"J0,K0,E2,D8",1176694786
FICO,673,"J0,E2,E0,G1",1176695121
FICO,488,"K0,J0,E2,D8",1176695588
FICO,427,"K0,J0,D7,E2",1176695973
FICO,399,"K0,D7,J0,F7",1176739952
FICO,540,"K0,J0,E2,D2",1176742544
FICO,540,"K0,J0,E2,D2",1176742591
FICO,401,"K0,E2,D8,P6",1176745524
FICO,399,"K0,D7,J0,F7",1176739996
FICO,418,"K0,D7,J0,E2",1176779315
FICO,606,"J0,P9,E2,D2",1176782187
FICO,418,"K0,D7,J0,E2",1176779274
FICO,412,"K0,D7,J0,E2",1176826987
FICO,412,"K0,D7,J0,E2",1176826916
FICO,478,"K0,J0,E2,D7",1176832818
FICO,474,"E2,D2,A1,J0",1176864293
FICO,474,"E2,D2,A1,J0",1176864269
FICO,474,"E2,D2,A1,J0",1176864233
FICO,417,"K0,J0,D7,E2",1176867466
FICO,568,"D7,J0,E2,M1",1176867082
FICO,406,"K0,D7,J0,E2",1176891521
FICO,601,"J0,K0,E2,D2",1176891880
FICO,455,"K0,J0,E2,D8",1176891149
FICO,628,"E0,E2,J0,G1",1176892104
FICO,526,"K0,J0,E2,D8",1176892307
FICO,426,"K0,J0,E2,D8",1176890293
FICO,503,"J0,K0,D7,E2",1176890726
FICO,449,"K0,J0,E2,P9",1177101537
FICO,449,"K0,J0,E2,P9",1177101563
FICO,713,"E0,G1,E2,J0",1177111240
FICO,439,"K0,D7,J0,D8",1177111072
FICO,587,"E2,J0,P6,P9",1177115923
FICO,410,"K0,D7,J0,E2",1177141455
FICO,412,"K0,J0,E2,P6",1177148919
FICO,438,"K0,D7,J0,E2",1177172043
FICO,438,"K0,D7,J0,E2",1177172268
FICO,449,"K0,J0,E2,P9",1177171258
FICO,504,"K0,J0,F7,E2",1177184959
FICO,449,"K0,J0,E2,P9",1177171326
FICO,449,"K0,J0,E2,D8",1177217261
FICO,435,"K0,J0,D7,E2",1177208227
FICO,435,"K0,J0,D7,E2",1177208099
FICO,449,"K0,J0,E2,D8",1177217205
FICO,435,"K0,J0,D7,E2",1177208168
FICO,452,"K0,J0,D7,E2",1177250893
FICO,439,"K0,J0,D7,E2",1177292898
FICO,439,"K0,J0,D7,E2",1177292824
FICO,431,"K0,J0,D7,E2",1177328191
FICO,464,"K0,J0,E2,D2",1177313702
FICO,422,"K0,D7,J0,E2",1177351496
FICO,422,"K0,D7,J0,E2",1177351584
FICO,451,"K0,J0,E2,D8",1177337619
FICO,412,"K0,D7,J0,E2",1177370032
FICO,452,"K0,J0,E2,D8",1177379900
FICO,387,"K0,D7,J0,E2",1177384600
FICO,509,"K0,J0,D8,D7",1177380923
FICO,474,"K0,J0,E2,D2",1177382096
FICO,452,"K0,J0,E2,D8",1177379836
FICO,543,"K0,D8,D7,J0",1177381233
FICO,608,"K0,E2,J0,M1",1177381515
FICO,489,"K0,F7,D8,E2",1177382237
FICO,496,"K0,D8,E2,J0",1177382386
FICO,417,"K0,D7,J0,E2",1177383276
FICO,488,"K0,D7,D8,J0",1177381140
FICO,437,"K0,D7,E2,D8",1177397562
FICO,422,"K0,D7,J0,E2",1177411499
FICO,461,"K0,J0,E2,D8",1177410297
FICO,461,"K0,J0,E2,D8",1177410257
FICO,461,"K0,J0,E2,D8",1177410229
FICO,476,"K0,J0,D7,D8",1177415087
FICO,509,"K0,J0,E2,M1",1177419424
FICO,423,"K0,D7,J0,E2",1177415228
FICO,517,"K0,J0,E2,M1",1177419140
FICO,523,"K0,J0,E2,M1",1177415493
FICO,484,"K0,J0,E2,F7",1177478080
FICO,419,"K0,D7,J0,E2",1177569638
FICO,610,"J0,K0,E2,M1",1177568509
FICO,543,"K0,J0,E2,M1",1177567391
FICO,393,"K0,J0,D7,E2",1177567744
FICO,449,"K0,J0,E2,D8",1177547839
FICO,537,"K0,J0,E2,M1",1177566718
FICO,419,"K0,D7,J0,E2",1177569699
FICO,449,"K0,J0,E2,D8",1177547900
FICO,449,"K0,J0,E2,D8",1177547757
FICO,643,"E2,J0,G1,E0",1177567968
FICO,620,"E2,J0,E0,G1",1177567280
FICO,435,"K0,J0,D7,E2",1177588489
FICO,539,"J0,K0,E2,D8",1177590909
FICO,464,"K0,J0,E2,D8",1177578383
FICO,364,"K0,D7,J0,E2",1177596916
FICO,435,"K0,J0,D7,E2",1177588582
FICO,506,"K0,J0,D2,E2",1177673220
FICO,506,"K0,J0,D2,E2",1177673196
FICO,506,"K0,J0,D2,E2",1177673229
FICO,450,"K0,J0,D7,E2",1177899239
FICO,477,"K0,J0,D7,D8",1177899197
FICO,471,"K0,J0,E2,D8",1177919994
FICO,552,"D2,E2,E0,J0",1177911542
FICO,471,"K0,J0,E2,D8",1177919960
FICO,335,"K0,D7,J0,E2",1177915519
FICO,335,"K0,D7,J0,E2",1177915494
FICO,423,"K0,D7,J0,E2",1177912113
FICO,471,"K0,J0,E2,D8",1177919944
FICO,656,"J0,D2,E2,E0",1177942817
FICO,637,"J0,P9,E2,E0",1177956608
FICO,466,"K0,J0,E2,D2",1177943309
FICO,0,"C2,None,None,None",1177962656
FICO,480,"K0,J0,E2,D7",1177967385
FICO,554,"J0,E2,P9,D2",1177976572
FICO,478,"K0,J0,E2,D8",1177984036
FICO,480,"K0,J0,E2,D7",1177984232
FICO,636,"E2,J0,G1,E0",1177983796
FICO,515,"K0,J0,E2,M1",1177983496
FICO,449,"K0,J0,E2,D2",1177998812
FICO,597,"E2,E0,J0,G1",1178013553
FICO,597,"E2,E0,J0,G1",1178013580
FICO,597,"E2,E0,J0,G1",1178013517
FICO,518,"K0,J0,E2,D7",1178016732
FICO,518,"K0,J0,E2,D7",1178016750
FICO,518,"K0,J0,E2,D7",1178016772
FICO,423,"K0,J0,E2,D8",1177999064
FICO,420,"K0,D7,J0,E2",1178065767
FICO,536,"K0,F7,E4,E2",1178087757
FICO,487,"K0,J0,E2,D2",1178145653
FICO,566,"D7,J0,F7,M1",1178146862
FICO,487,"K0,J0,E2,D2",1178145600
FICO,553,"P6,E2,J0,E0",1178247013
FICO,456,"K0,J0,E2,D8",1178257786
FICO,492,"K0,J0,D8,D7",1178243145
FICO,532,"K0,J0,E2,M1",1178244509
FICO,526,"K0,J0,E2,D8",1178262607
FICO,429,"K0,D7,J0,E2",1178242593
FICO,492,"K0,J0,D8,D7",1178243096
FICO,413,"K0,D7,J0,E2",1178259483
FICO,438,"K0,J0,D7,E2",1178249846
FICO,626,"E2,P6,J0,P9",1178252896
FICO,420,"K0,D7,J0,E2",1178254576
FICO,449,"K0,J0,E2,D8",1178259133
FICO,472,"K0,J0,D8,E2",1178264067
FICO,438,"K0,J0,D7,E2",1178316350
FICO,427,"K0,J0,D7,E2",1179824469
FICO,519,"K0,J0,E2,M1",1179829044
FICO,519,"K0,J0,E2,M1",1179829024
FICO,592,"J0,D8,E2,D7",1179831486
FICO,457,"D2,E2,A1,J0",1179838494
FICO,489,"K0,J0,E2,D8",1179836691
FICO,489,"K0,J0,E2,D8",1179836679
FICO,576,"J0,D7,E2,D2",1179831379
FICO,477,"K0,J0,E2,D8",1179839004
FICO,497,"K0,J0,E2,D8",1179834568
FICO,368,"K0,D7,J0,E2",1179833923
FICO,592,"J0,D8,E2,D7",1179831470
FICO,405,"K0,J0,D7,E2",1179840282
FICO,406,"K0,D7,J0,E2",1179838048
FICO,373,"J0,K0,E2,D8",1179841652
FICO,457,"K0,D8,P9,E2",1179862818
FICO,537,"J0,K0,D7,D8",1179880011
FICO,482,"K0,J0,D8,D7",1179881490
FICO,435,"K0,J0,D8,P6",1179880780
FICO,517,"K0,J0,D8,E2",1179894825
FICO,517,"K0,J0,D8,E2",1179894778
FICO,517,"K0,J0,D8,E2",1179894834
FICO,517,"K0,J0,D8,E2",1179894794
FICO,517,"K0,J0,D8,E2",1179894815
FICO,479,"K0,J0,E2,D2",1179904054
FICO,535,"K0,D7,D8,E2",1179913990
FICO,479,"K0,J0,E2,D2",1179904050
FICO,415,"K0,D7,J0,E2",1179915111
FICO,381,"J0,K0,E2,F7",1179914132
FICO,479,"K0,J0,E2,D2",1179904053
FICO,506,"K0,J0,E2,D2",1179921418
FICO,446,"K0,D7,J0,E2",1179917865
FICO,563,"E2,E0,J0,G1",1179927522
FICO,470,"K0,J0,D7,E2",1180536903
FICO,623,"J0,E2,M1,D2",1180536241
FICO,620,"J0,E2,F7,E0",1180535690
FICO,534,"K0,J0,E2,D2",1180537092
FICO,481,"K0,J0,E2,D8",1180535863
FICO,638,"J0,E2,F7,E0",1180536487
FICO,638,"J0,E2,F7,E0",1180536505
FICO,548,"E2,E0,A1,J0",1180536729
