id_distribuidor,id_red,perdida_cosecha,cosecha_estimada
143960,156523,0.2355862155261229,0.019799999999999998
147486,155034,0.0,0.01
147490,155034,0.0,0.01
147582,156979,0.0,0.01
147991,153797,0.0,0.0611
148081,154087,0.2452530615594919,0.01
151527,154146,0.8733144645136302,0.019799999999999998
151626,153071,0.0,0.0406
151641,153119,0.46612872883045553,0.019799999999999998
151642,153119,0.845189881434519,0.0611
151779,156420,0.0,0.01
151844,153119,0.46612872883045553,0.0406
151883,153119,0.0,0.019799999999999998
151885,153119,0.46612872883045553,0.01
152120,153896,0.0,0.019799999999999998
152143,153269,0.27934435526624,0.01
152227,152320,0.0,0.0611
152232,152320,0.0,0.0611
152233,152320,0.0,0.019799999999999998
152286,154087,0.2452530615594919,0.01
152317,153119,0.46612872883045553,0.019799999999999998
152346,152779,0.0,0.019799999999999998
152362,153119,0.46612872883045553,0.01
152434,152779,0.0,0.019799999999999998
152475,153269,0.27934435526624,0.01
