label,approval_score,applicant_id,sucursal,flag_sucursal_riesgo,grupo_riesgo_final,tasa_perdida,inf_obs
3,0.6620330728,160011,GRUPO_2,SI,3,8.34,N/A
1,0.79300103,160012,GRUPO_2,SI,1,3.44,N/A
3,0.69382565,160015,GRUPO_2,SI,3,8.34,N/A
3,0.66918725,160020,GRUPO_2,SI,3,8.34,N/A
2,0.6305230998,160463,GRUPO_1,NO,2,6.32,N/A
3,0.6945988077,157115,GRUPO_2,SI,3,8.34,N/A
2,0.7443775937,157132,GRUPO_2,SI,2,6.32,N/A
5,0.4575036164,157205,GRUPO_2,SI,5,14.2,N/A
4,0.6180160102,157261,GRUPO_2,SI,4,13.97,N/A
5,0.4768666981,157375,GRUPO_2,SI,5,14.2,N/A
4,0.5010009323,157382,GRUPO_2,SI,4,13.97,N/A
4,0.5392378917,157414,GRUPO_2,SI,4,13.97,N/A
2,0.7255160341,157509,GRUPO_2,SI,2,6.32,N/A
3,0.6720223445,157520,GRUPO_2,SI,3,8.34,N/A
4,0.5392378917,157522,GRUPO_2,SI,4,13.97,N/A
5,0.4981121712,157527,GRUPO_2,SI,5,14.2,N/A
