label,approval_score,applicant_id,sucursal,flag_sucursal_riesgo,grupo_riesgo_final,tasa_perdida,inf_obs
6,0.3570262057,156151,GRUPO_4,SI,6,23.86,N/A
4,0.5246985554,156365,GRUPO_4,SI,4,13.97,N/A
5,0.4852988116,156366,GRUPO_4,SI,5,14.2,N/A
5,0.4843170778,156458,GRUPO_4,SI,5,14.2,N/A
4,0.5748295367,156460,GRUPO_4,SI,4,13.97,N/A
4,0.5479268857,152641,GRUPO_4,SI,4,13.97,N/A
6,0.3151431209,159173,GRUPO_2,SI,6,23.86,N/A
5,0.4790284353,159517,GRUPO_4,SI,5,14.2,N/A
4,0.5717270549,159525,GRUPO_4,SI,4,13.97,N/A
3,0.5954921192,160181,GRUPO_1,NO,3,8.34,N/A
3,0.5055658947,158862,GRUPO_5,NO,3,8.34,N/A
3,0.5358936842,158907,GRUPO_5,NO,3,8.34,N/A
3,0.5680914745,159177,GRUPO_5,NO,3,8.34,N/A
6,0.3744223043,155041,GRUPO_4,SI,6,23.86,N/A
4,0.5651739319,152120,GRUPO_2,SI,4,13.97,N/A
4,0.5165671059,153602,GRUPO_2,SI,4,13.97,N/A
3,0.6960615679,153603,GRUPO_2,SI,3,8.34,N/A
2,0.6854316139,159835,GRUPO_1,NO,2,6.32,N/A
6,0.4140510157,154767,GRUPO_2,SI,6,23.86,N/A
2,0.7197588543,154975,GRUPO_2,SI,2,6.32,N/A
4,0.5822426334,157530,GRUPO_2,SI,4,13.97,N/A
4,0.5175542722,157534,GRUPO_2,SI,4,13.97,N/A
3,0.5922818866,157348,GRUPO_5,NO,3,8.34,N/A
3,0.6988487913,156738,GRUPO_4,SI,3,8.34,N/A
3,0.6726652077,156802,GRUPO_4,SI,3,8.34,N/A
5,0.4575036164,157609,GRUPO_2,SI,5,14.2,N/A
4,0.5421847711,158860,GRUPO_2,SI,4,13.97,N/A
4,0.5483333516,158865,GRUPO_2,SI,4,13.97,N/A
4,0.5675191181,158867,GRUPO_2,SI,4,13.97,N/A
2,0.7351234661,159058,GRUPO_2,SI,2,6.32,N/A
1,0.740948002,154076,GRUPO_5,NO,1,3.44,N/A
5,0.4415574294,158847,GRUPO_2,SI,5,14.2,N/A
6,0.3544956012,159061,GRUPO_2,SI,6,23.86,N/A
6,0.41183098,159062,GRUPO_2,SI,6,23.86,N/A
3,0.6832981554,155959,GRUPO_2,SI,3,8.34,N/A
4,0.5483333516,155966,GRUPO_2,SI,4,13.97,N/A
5,0.4668224477,156030,GRUPO_2,SI,5,14.2,N/A
5,0.4766396295,156053,GRUPO_4,SI,5,14.2,N/A
4,0.5010009323,156147,GRUPO_2,SI,4,13.97,N/A
5,0.4768666981,156202,GRUPO_2,SI,5,14.2,N/A
5,0.4768666981,158823,GRUPO_2,SI,5,14.2,N/A
5,0.4487037632,152620,GRUPO_4,SI,5,14.2,N/A
4,0.5564829931,152819,GRUPO_4,SI,4,13.97,N/A
3,0.6672636844,152943,GRUPO_4,SI,3,8.34,N/A
5,0.4922011576,153106,GRUPO_4,SI,5,14.2,N/A
3,0.6258201129,155925,GRUPO_2,SI,3,8.34,N/A
4,0.5569090422,158920,GRUPO_2,SI,4,13.97,N/A
4,0.6180160102,159065,GRUPO_2,SI,4,13.97,N/A
5,0.4981121712,159066,GRUPO_2,SI,5,14.2,N/A
6,0.4231369111,159152,GRUPO_2,SI,6,23.86,N/A
5,0.4575036164,159820,GRUPO_2,SI,5,14.2,N/A
4,0.5421847711,159821,GRUPO_2,SI,4,13.97,N/A
4,0.5969173443,159822,GRUPO_2,SI,4,13.97,N/A
2,0.7418224708,159828,GRUPO_2,SI,2,6.32,N/A
6,0.4097983738,152716,GRUPO_4,SI,6,23.86,N/A
1,0.809235285,153822,GRUPO_2,SI,1,3.44,N/A
5,0.4389793503,154113,GRUPO_2,SI,5,14.2,N/A
6,0.3203764985,154290,GRUPO_2,SI,6,23.86,N/A
0,0.7571686215,155452,GRUPO_5,NO,0,1.2,N/A
3,0.6700007191,160231,GRUPO_2,SI,3,8.34,N/A
3,0.5308537144,160547,GRUPO_1,NO,3,8.34,N/A
6,0.3152498221,153505,GRUPO_4,SI,6,23.86,N/A
4,0.6042346181,153560,GRUPO_4,SI,4,13.97,N/A
6,0.4096788173,153940,GRUPO_2,SI,6,23.86,N/A
6,0.3517849838,157406,GRUPO_2,SI,6,23.86,N/A
6,0.382776849,157510,GRUPO_2,SI,6,23.86,N/A
4,0.5096716902,159585,GRUPO_2,SI,4,13.97,N/A
3,0.5156046859,154488,GRUPO_5,NO,3,8.34,N/A
3,0.5527479182,154494,GRUPO_5,NO,3,8.34,N/A
4,0.4961605029,154876,GRUPO_5,NO,4,13.97,N/A
3,0.5646084714,154878,GRUPO_5,NO,3,8.34,N/A
1,0.7110326973,154135,GRUPO_1,NO,1,3.44,N/A
3,0.6436228307,159515,GRUPO_2,SI,3,8.34,N/A
3,0.6602948642,160121,GRUPO_2,SI,3,8.34,N/A
5,0.4103977349,160325,GRUPO_1,NO,5,14.2,N/A
5,0.3483900587,160328,GRUPO_1,NO,5,14.2,N/A
5,0.3118980013,160330,GRUPO_1,NO,5,14.2,N/A
3,0.5695740553,160332,GRUPO_1,NO,3,8.34,N/A
2,0.6701918693,160336,GRUPO_1,NO,2,6.32,N/A
2,0.6625423429,160337,GRUPO_1,NO,2,6.32,N/A
2,0.6625423429,160338,GRUPO_1,NO,2,6.32,N/A
5,0.4922011576,151779,GRUPO_4,SI,5,14.2,N/A
4,0.5748295367,155261,GRUPO_4,SI,4,13.97,N/A
4,0.5479268857,156038,GRUPO_4,SI,4,13.97,N/A
5,0.4325748758,159297,GRUPO_2,SI,5,14.2,N/A
4,0.5042729204,159181,GRUPO_2,SI,4,13.97,N/A
6,0.4195776961,159302,GRUPO_2,SI,6,23.86,N/A
3,0.620198618,153722,GRUPO_4,SI,3,8.34,N/A
4,0.5354365266,153727,GRUPO_4,SI,4,13.97,N/A
2,0.7048593933,153777,GRUPO_4,SI,2,6.32,N/A
3,0.6964057341,153586,GRUPO_4,SI,3,8.34,N/A
3,0.6283346826,153587,GRUPO_4,SI,3,8.34,N/A
4,0.5160296317,151844,GRUPO_4,SI,4,13.97,N/A
3,0.5865952154,152263,GRUPO_1,NO,3,8.34,N/A
2,0.6259884454,154927,GRUPO_1,NO,2,6.32,N/A
3,0.5865952154,154932,GRUPO_1,NO,3,8.34,N/A
2,0.6570714139,158056,GRUPO_5,NO,2,6.32,N/A
3,0.571000628,159018,GRUPO_5,NO,3,8.34,N/A
6,0.41183098,156456,GRUPO_2,SI,6,23.86,N/A
6,0.4014298829,156462,GRUPO_2,SI,6,23.86,N/A
3,0.64317897,157176,GRUPO_2,SI,3,8.34,N/A
4,0.6168725791,159498,GRUPO_4,SI,4,13.97,N/A
3,0.6794640714,159529,GRUPO_4,SI,3,8.34,N/A
6,0.4166734534,159833,GRUPO_4,SI,6,23.86,N/A
5,0.4187957581,153252,GRUPO_1,NO,5,14.2,N/A
5,0.493670355,158881,GRUPO_4,SI,5,14.2,N/A
1,0.7800737398,158889,GRUPO_4,SI,1,3.44,N/A
3,0.6604057377,159518,GRUPO_4,SI,3,8.34,N/A
3,0.6584600118,152778,GRUPO_2,SI,3,8.34,N/A
6,0.3744223043,153539,GRUPO_4,SI,6,23.86,N/A
5,0.4936000742,156623,GRUPO_2,SI,5,14.2,N/A
5,0.4936000742,156764,GRUPO_2,SI,5,14.2,N/A
5,0.4849323252,156848,GRUPO_2,SI,5,14.2,N/A
4,0.5416157544,156881,GRUPO_2,SI,4,13.97,N/A
3,0.6557864164,157177,GRUPO_2,SI,3,8.34,N/A
6,0.3151431209,159142,GRUPO_2,SI,6,23.86,N/A
6,0.3078051582,157613,GRUPO_2,SI,6,23.86,N/A
5,0.4790284353,153721,GRUPO_4,SI,5,14.2,N/A
4,0.5663305985,153774,GRUPO_4,SI,4,13.97,N/A
4,0.5141815296,155968,GRUPO_2,SI,4,13.97,N/A
3,0.6444130642,155889,GRUPO_2,SI,3,8.34,N/A
3,0.6325218416,156418,GRUPO_2,SI,3,8.34,N/A
2,0.7197588543,156422,GRUPO_2,SI,2,6.32,N/A
0,0.8023458093,157287,GRUPO_5,NO,0,1.2,N/A
3,0.6109254471,157291,GRUPO_5,NO,3,8.34,N/A
3,0.5922818866,157311,GRUPO_5,NO,3,8.34,N/A
2,0.6394001539,157312,GRUPO_5,NO,2,6.32,N/A
1,0.7499422109,157313,GRUPO_5,NO,1,3.44,N/A
5,0.4727005887,159404,GRUPO_4,SI,5,14.2,N/A
2,0.621275191,157785,GRUPO_5,NO,2,6.32,N/A
2,0.6625547206,157786,GRUPO_5,NO,2,6.32,N/A
3,0.6109254471,157787,GRUPO_5,NO,3,8.34,N/A
0,0.7685678845,157789,GRUPO_5,NO,0,1.2,N/A
5,0.4718647362,159527,GRUPO_4,SI,5,14.2,N/A
4,0.5313491671,155387,GRUPO_2,SI,4,13.97,N/A
5,0.4409922934,155389,GRUPO_2,SI,5,14.2,N/A
4,0.6148229033,155390,GRUPO_2,SI,4,13.97,N/A
6,0.2895150197,155433,GRUPO_2,SI,6,23.86,N/A
6,0.3724924869,155487,GRUPO_2,SI,6,23.86,N/A
4,0.5723204372,152826,GRUPO_4,SI,4,13.97,N/A
5,0.4922011576,153433,GRUPO_4,SI,5,14.2,N/A
4,0.54445703,157524,GRUPO_2,SI,4,13.97,N/A
4,0.4928210187,154301,GRUPO_1,NO,4,13.97,N/A
3,0.5298156954,154338,GRUPO_1,NO,3,8.34,N/A
3,0.5091531657,154362,GRUPO_1,NO,3,8.34,N/A
3,0.6076030677,154366,GRUPO_1,NO,3,8.34,N/A
3,0.5455244956,155280,GRUPO_1,NO,3,8.34,N/A
4,0.5175542722,155867,GRUPO_2,SI,4,13.97,N/A
2,0.7149057317,158705,GRUPO_4,SI,2,6.32,N/A
4,0.5326774844,158819,GRUPO_2,SI,4,13.97,N/A
4,0.6114815426,159063,GRUPO_2,SI,4,13.97,N/A
6,0.3519334686,154785,GRUPO_4,SI,6,23.86,N/A
1,0.8145328153,153568,GRUPO_2,SI,1,3.44,N/A
6,0.4260359718,155398,GRUPO_2,SI,6,23.86,N/A
3,0.6963012091,155590,GRUPO_2,SI,3,8.34,N/A
4,0.5605582557,155603,GRUPO_2,SI,4,13.97,N/A
3,0.6351791861,155607,GRUPO_2,SI,3,8.34,N/A
4,0.5297224888,156837,GRUPO_2,SI,4,13.97,N/A
3,0.6405469201,156871,GRUPO_2,SI,3,8.34,N/A
4,0.5994147645,156072,GRUPO_2,SI,4,13.97,N/A
6,0.3570262057,157997,GRUPO_4,SI,6,23.86,N/A
4,0.5130460907,158166,GRUPO_2,SI,4,13.97,N/A
6,0.3806356897,152232,GRUPO_2,SI,6,23.86,N/A
5,0.4855261784,152233,GRUPO_2,SI,5,14.2,N/A
4,0.4928210187,154036,GRUPO_1,NO,4,13.97,N/A
3,0.5368611881,154040,GRUPO_1,NO,3,8.34,N/A
1,0.7315190047,154042,GRUPO_1,NO,1,3.44,N/A
4,0.4740006242,154045,GRUPO_1,NO,4,13.97,N/A
2,0.6794080054,154197,GRUPO_1,NO,2,6.32,N/A
3,0.5043664515,154274,GRUPO_1,NO,3,8.34,N/A
2,0.6625547206,157791,GRUPO_5,NO,2,6.32,N/A
4,0.5409529981,153608,GRUPO_2,SI,4,13.97,N/A
6,0.3724924869,153619,GRUPO_2,SI,6,23.86,N/A
2,0.7351234661,159952,GRUPO_2,SI,2,6.32,N/A
3,0.6383028165,159964,GRUPO_2,SI,3,8.34,N/A
3,0.5156046859,154353,GRUPO_5,NO,3,8.34,N/A
2,0.7495973778,159070,GRUPO_4,SI,2,6.32,N/A
5,0.4415187756,158265,GRUPO_2,SI,5,14.2,N/A
4,0.5969173443,152930,GRUPO_2,SI,4,13.97,N/A
4,0.5721672057,156205,GRUPO_2,SI,4,13.97,N/A
5,0.435696334,156067,GRUPO_4,SI,5,14.2,N/A
6,0.3985877358,156332,GRUPO_4,SI,6,23.86,N/A
4,0.5466050198,156442,GRUPO_4,SI,4,13.97,N/A
4,0.5784172453,157011,GRUPO_4,SI,4,13.97,N/A
4,0.597194319,156260,GRUPO_4,SI,4,13.97,N/A
1,0.7257378245,156357,GRUPO_5,NO,1,3.44,N/A
6,0.41183098,155044,GRUPO_2,SI,6,23.86,N/A
3,0.6662175594,147487,GRUPO_2,SI,3,8.34,N/A
2,0.7349848146,147489,GRUPO_2,SI,2,6.32,N/A
4,0.6148229033,147492,GRUPO_2,SI,4,13.97,N/A
1,0.8145328153,159797,GRUPO_2,SI,1,3.44,N/A
4,0.5507815635,159838,GRUPO_2,SI,4,13.97,N/A
6,0.3624726315,147582,GRUPO_2,SI,6,23.86,N/A
3,0.549254863,158221,GRUPO_5,NO,3,8.34,N/A
0,0.8002146035,158360,GRUPO_5,NO,0,1.2,N/A
6,0.3896728948,156737,GRUPO_4,SI,6,23.86,N/A
6,0.3713371467,156745,GRUPO_4,SI,6,23.86,N/A
6,0.3611802866,157270,GRUPO_4,SI,6,23.86,N/A
3,0.6071327054,154859,GRUPO_5,NO,3,8.34,N/A
4,0.5072390739,158901,GRUPO_2,SI,4,13.97,N/A
